;file_name;maleCount;femaleCount;avgMaleAge;avgFemaleAge;nudity;sentiment
0;1.jpg;0;0;0.0;0.0;0;0.0
1;10.jpg;0;0;0.0;0.0;0;0.0
2;1000.jpg;0;0;0.0;0.0;0;0.0
3;10000.jpg;1;0;25.0;0.0;0;0.0
4;10006.jpg;0;0;0.0;0.0;0;0.0
5;10007.jpg;1;0;37.0;0.0;0;0.009615384615384625
6;10008.jpg;1;0;57.0;0.0;0;0.0
7;10009.jpg;1;0;66.0;0.0;0;-0.25
8;1001.jpg;0;0;0.0;0.0;0;0.4
9;10010.jpg;1;0;35.0;0.0;1;0.65
10;10011.jpg;0;2;0.0;22.5;0;0.2694444444444445
11;10012.jpg;0;2;0.0;22.5;0;0.5
12;10013.jpg;0;0;0.0;0.0;0;0.0
13;10014.jpg;0;0;0.0;0.0;0;0.0
14;10016.jpg;0;1;0.0;44.0;0;0.2
15;10017.jpg;0;0;0.0;0.0;0;0.0
16;10018.jpg;1;1;29.0;28.0;0;-0.35714285714285715
17;1002.jpg;0;1;0.0;39.0;1;0.31666666666666665
18;10021.jpg;0;3;0.0;33.666666666666664;1;0.0
19;10022.jpg;0;0;0.0;0.0;0;0.020833333333333332
20;10023.jpg;0;0;0.0;0.0;0;0.0
21;10025.jpg;0;1;0.0;15.0;1;0.013095238095238104
22;10027.jpg;2;2;34.5;50.5;0;0.2
23;10028.jpg;1;0;32.0;0.0;0;1.0
24;10029.jpg;2;0;39.5;0.0;0;0.0
25;1003.jpg;2;0;31.0;0.0;0;0.0
26;10030.jpg;2;0;43.0;0.0;0;0.0
27;10032.jpg;0;0;0.0;0.0;0;5.551115123125783e-18
28;10033.jpg;1;0;33.0;0.0;0;0.0
29;10034.jpg;0;1;0.0;41.0;1;-0.0666666666666666
30;10035.jpg;0;1;0.0;39.0;0;-0.2
31;10036.jpg;1;0;35.0;0.0;0;0.1
32;10037.jpg;0;0;0.0;0.0;0;-0.6666666666666666
33;10038.jpg;0;4;0.0;52.0;0;0.0
34;10039.jpg;0;0;0.0;0.0;0;-1.0
35;10040.jpg;0;1;0.0;31.0;0;1.0
36;10042.jpg;0;1;0.0;36.0;0;0.0
37;10043.jpg;0;1;0.0;25.0;0;0.5
38;10044.jpg;3;0;27.0;0.0;0;0.0
39;10045.jpg;0;0;0.0;0.0;0;0.2888888888888889
40;10046.jpg;2;0;48.5;0.0;0;-0.15000000000000002
41;10048.jpg;0;0;0.0;0.0;0;-0.8
42;10049.jpg;0;1;0.0;32.0;1;125
43;1005.jpg;3;1;59.66666666666666;42.0;0;-0.015151515151515152
44;10050.jpg;3;0;31.666666666666668;0.0;0;0.13333333333333333
45;10052.jpg;2;0;28.0;0.0;0;0.35
46;10053.jpg;0;0;0.0;0.0;0;0.0
47;10055.jpg;0;0;0.0;0.0;0;-0.05
48;10056.jpg;0;0;0.0;0.0;0;-0.1
49;10057.jpg;0;0;0.0;0.0;0;0.15625
50;10059.jpg;0;1;0.0;28.0;1;0.0
51;1006.jpg;0;0;0.0;0.0;0;0.6
52;10060.jpg;1;0;57.0;0.0;0;-0.30000000000000004
53;10061.jpg;2;0;37.5;0.0;0;0.45
54;10063.jpg;1;0;43.0;0.0;0;-0.1
55;10065.jpg;2;0;53.5;0.0;0;0.25
56;10066.jpg;0;1;0.0;22.0;0;0.0
57;10067.jpg;1;0;59.0;0.0;0;0.0
58;10068.jpg;0;0;0.0;0.0;0;0.13333333333333336
59;10069.jpg;1;0;27.0;0.0;0;-0.5
60;10070.jpg;0;1;0.0;22.0;0;0.5
61;10071.jpg;0;0;0.0;0.0;0;0.0
62;10072.jpg;2;0;34.0;0.0;0;0.2803030303030303
63;10073.jpg;1;0;36.0;0.0;0;0.11428571428571431
64;10075.jpg;0;0;0.0;0.0;0;-0.14583333333333334
65;10076.jpg;1;1;42.0;29.0;0;-0.16666666666666666
66;10077.jpg;0;1;0.0;26.0;0;0.0
67;10078.jpg;0;0;0.0;0.0;0;-0.25
68;10079.jpg;0;1;0.0;31.0;1;0.0
69;10080.jpg;2;0;66.0;0.0;0;175
70;10081.jpg;0;2;0.0;40.0;0;0.0
71;10083.jpg;0;0;0.0;0.0;0;0.0
72;10085.jpg;0;0;0.0;0.0;0;0.2
73;10086.jpg;0;1;0.0;27.0;0;175
74;10087.jpg;0;1;0.0;22.0;0;0.04523809523809524
75;10088.jpg;0;1;0.0;27.0;0;0.3333333333333333
76;10089.jpg;2;0;30.0;0.0;0;0.0
77;10090.jpg;0;0;0.0;0.0;0;-0.15000000000000002
78;10093.jpg;2;0;24.5;0.0;0;0.0
79;10094.jpg;1;0;28.0;0.0;0;-0.5
